Day,Date,Time,Class Name,Instructor,Status
Monday,18 May 2026,9:30 - 10:30 am,Arms Abs Glutes,Suzanne,Active
Monday,18 May 2026,5:45 - 6:45 pm,Hot Mat Pilates,Sammy,Active
Monday,18 May 2026,7:00 - 8:30 pm,90min Bikram (Hot Yoga),Gabriel,Active
Tuesday,19 May 2026,9:30 - 10:30 am,Arms Abs Glutes,Suzanne,Active
Tuesday,19 May 2026,5:45 - 6:45 pm,Arms Abs Glutes,Suzanne,Active
Tuesday,19 May 2026,7:00 - 7:45 pm,Hot Mat Pilates (Core),Suzanne,Active
Wednesday,20 May 2026,6:30 - 7:15 am,Arms Abs Glutes,Mish,Active
Wednesday,20 May 2026,9:30 - 10:30 am,Hot Mat Pilates,Suzanne,Active
Wednesday,20 May 2026,5:45 - 6:45 pm,Hot Mat,Hiliory,Active
Wednesday,20 May 2026,7:00 - 7:45 pm,Power HIIT,Hiliory,Active
Thursday,21 May 2026,9:30 - 10:30 am,Tabata,Suzanne,Active
Thursday,21 May 2026,5:45 - 6:30 pm,Tabata,Suzanne,Active
Thursday,21 May 2026,6:45 - 7:45 pm,Arms Abs Glutes,Mish,Active
Friday,22 May 2026,6:30 - 7:15 am,Power HIIT,Mish,Active
Friday,22 May 2026,9:30 - 10:30 am,Hot Mat Pilates (Strength),Sammy,Active
Friday,22 May 2026,6:45 - 7:45 pm,60min Bikram Express (Hot Yoga),Mish,Active
Saturday,23 May 2026,8:00 - 9:00 am,Sculpt Yoga,Stephanie,Active
Saturday,23 May 2026,9:15 - 10:15 am,Hot Mat Pilates,Sammy,Active
Saturday,23 May 2026,3:30 - 4:30 pm,Silent Bikram,Mish,Active
Sunday,24 May 2026,8:00 - 9:00 am,Hot Mat Pilates (Sculpt/Strength/Core),Suzanne,Active
Sunday,24 May 2026,9:15 - 10:45 am,90min Bikram (Hot Yoga),Mish,Active
Sunday,24 May 2026,5:00 - 6:00 pm,Yin Yoga,Sammy,Active
